"ID","NAME","BASE_ID","CONVERSION_FACTOR","DEPRECATED"
"9101","radian","9101","1.0","false"
"9102","degree","9101","0.017453292519943278","false"
"9103","arc-minute","9101","2.908882086657213E-4","false"
"9104","arc-second","9101","4.848136811095355E-6","false"
"9105","grad","9101","0.01570796326794895","false"
"9106","gon","9101","0.01570796326794895","false"
"9107","degree minute second","9102","NaN","false"
"9108","degree minute second hemisphere","9102","NaN","false"
"9109","microradian","9101","1.0E-6","false"
"9110","sexagesimal DMS","9102","NaN","false"
"9111","sexagesimal DM","9102","NaN","false"
"9112","centesimal minute","9101","1.570796326794895E-4","false"
"9113","centesimal second","9101","1.570796326794895E-6","false"
"9114","mil_6400","9101","9.817477042468094E-4","false"
"9115","degree minute","9102","NaN","false"
"9116","degree hemisphere","9102","NaN","false"
"9117","hemisphere degree","9102","NaN","false"
"9118","degree minute hemisphere","9102","NaN","false"
"9119","hemisphere degree minute","9102","NaN","false"
"9120","hemisphere degree minute second","9102","NaN","false"
"9121","sexagesimal DMS.s","9102","NaN","false"
"9122","degree (supplier to define representation)","9101","0.017453292519943278","false"
