"ID","NAME","MIN_X","MIN_Y","MAX_X","MAX_Y","DEPRECATED"
"1024","Afghanistan","60.5","29.41","74.92","38.47","false"
"1025","Albania","18.46","39.64","21.05","42.66","false"
"1026","Algeria","-8.67","18.98","11.99","38.8","false"
"1027","American Samoa","-173.75","-17.56","-165.2","-10.02","false"
"1028","Andorra","1.42","42.44","1.78","42.66","false"
"1029","Angola","8.2","-18.02","24.08","-4.39","false"
"1030","Anguilla","-63.9","17.95","-60.68","21.93","false"
"1031","Antarctica","-180.0","-90.0","180.0","-60.0","false"
"1032","Antigua and Barbuda","-62.75","16.61","-58.37","20.87","false"
"1033","Argentina","-73.58","-58.4","-52.63","-21.78","false"
"1034","Armenia","43.45","38.84","46.62","41.3","false"
"1035","Aruba","-70.42","12.15","-69.31","15.41","false"
"1036","Australia","109.23","-47.19","163.19","-8.88","false"
"1037","Austria","9.53","46.41","17.17","49.02","false"
"1038","Azerbaijan","44.78","37.9","51.73","42.58","false"
"1039","Bahamas","-81.22","20.37","-70.63","30.36","false"
"1040","Bahrain","50.27","25.54","51.12","27.17","false"
"1041","Bangladesh","88.04","18.57","92.67","26.63","false"
"1042","Barbados","-60.39","10.68","-56.0","16.0","false"
"1043","Belarus","23.17","51.25","32.74","56.17","false"
"1044","Belgium","2.24","49.51","6.4","51.87","false"
"1045","Belize","-89.22","15.89","-86.11","18.49","false"
"1046","Benin","0.78","2.99","3.85","12.4","false"
"1047","Bermuda","-68.83","28.91","-60.71","35.72","false"
"1048","Bhutan","88.75","26.7","92.11","28.32","false"
"1049","Bolivia","-69.66","-22.9","-57.52","-9.68","false"
"1050","Bosnia and Herzegovina","15.74","42.57","19.62","45.27","false"
"1051","Botswana","20.0","-26.88","29.37","-17.78","false"
"1052","Bouvet Island","-2.38","-57.8","9.2","-51.07","false"
"1053","Brazil","-74.0","-35.71","-25.28","7.04","false"
"1054","British Indian Ocean Territory","67.89","-10.79","75.85","-2.28","false"
"1055","Brunei","112.37","4.02","115.36","6.3","false"
"1056","Bulgaria","22.37","41.24","31.35","44.22","false"
"1057","Burkina Faso","-5.52","9.4","2.4","15.08","false"
"1058","Burundi","28.98","-4.45","30.85","-2.3","false"
"1059","Cambodia","101.33","8.78","107.64","14.71","false"
"1060","Cameroon","8.32","1.65","16.21","13.08","false"
"1061","Canada","-141.0","40.04","-47.74","86.45","false"
"1062","Cape Verde","-28.85","11.48","-19.53","20.54","false"
"1063","Cayman Islands","-83.6","17.58","-78.72","20.67","false"
"1064","Central African Republic","14.42","2.22","27.46","11.0","false"
"1065","Chad","13.46","7.46","24.0","23.45","false"
"1066","Chile","-113.2","-59.86","-65.73","-17.51","false"
"1067","China","73.62","16.7","134.77","53.55","false"
"1068","Christmas Island","102.15","-13.92","109.03","-8.73","false"
"1069","Cocos (Keeling) Islands - onshore","96.77","-12.25","96.92","-12.08","false"
"1070","Colombia","-84.77","-4.24","-66.87","15.5","false"
"1071","Comoros","41.93","-14.43","45.78","-8.01","false"
"1072","Congo","8.85","-6.91","18.64","3.71","false"
"1073","Cook Islands","-168.52","-25.28","-154.81","-5.85","false"
"1074","Costa Rica","-90.44","2.15","-81.43","11.77","false"
"1075","Cote d'Ivoire (Ivory Coast)","-8.61","1.02","-2.49","10.74","false"
"1076","Croatia","13.01","41.62","19.43","46.54","false"
"1077","Cuba","-87.01","18.83","-73.57","25.5","false"
"1078","Cyprus","29.95","32.88","35.19","36.21","false"
"1079","Czech Republic","12.09","48.58","18.85","51.05","false"
"1080","Denmark","3.25","54.36","16.51","58.26","false"
"1081","Djibouti","41.76","10.94","44.15","12.71","false"
"1082","Dominica","-62.81","14.49","-57.53","16.61","false"
"1083","Dominican Republic","-73.46","14.96","-66.82","22.41","false"
"1084","East Timor","123.93","-11.33","128.2","-7.97","false"
"1085","Ecuador","-95.35","-5.0","-75.22","5.0","false"
"1086","Egypt","24.71","21.9","37.91","33.81","false"
"1087","El Salvador","-91.42","9.97","-87.65","14.43","false"
"1088","Equatorial Guinea","2.27","-4.79","11.35","4.12","false"
"1089","Eritrea","36.44","12.36","43.3","18.09","false"
"1090","Estonia","20.37","57.52","28.19","59.99","false"
"1091","Ethiopia","32.99","3.41","47.99","14.88","false"
"1092","Falkland Islands","-65.0","-56.25","-52.31","-47.68","false"
"1093","Faroe Islands","-13.91","59.94","-0.49","65.69","false"
"1094","Fiji - onshore","176.82","-20.8","-178.15","-12.43","false"
"1095","Finland","19.08","58.84","31.58","70.09","false"
"1096","France","-9.86","41.15","10.38","51.56","false"
"1097","French Guiana","-54.6","2.11","-49.46","8.88","false"
"1098","French Polynesia","-158.13","-31.24","-131.98","-4.53","false"
"1099","French Southern Territories","37.55","-53.24","81.82","-10.65","false"
"1100","Gabon","7.03","-6.37","14.52","2.32","false"
"1101","Gambia","-20.18","13.06","-13.8","13.83","false"
"1102","Georgia","38.97","41.05","46.71","43.58","false"
"1103","Germany","3.35","47.27","15.03","55.92","false"
"1104","Ghana","-3.79","1.4","2.1","11.16","false"
"1105","Gibraltar","-5.41","36.01","-4.89","36.16","false"
"1106","Greece","18.26","33.26","30.22","41.75","false"
"1107","Greenland","-75.0","56.38","8.12","87.02","false"
"1108","Grenada","-63.27","11.36","-60.82","13.4","false"
"1109","Guadeloupe","-63.66","15.06","-57.55","18.53","false"
"1110","Guam","141.2","10.95","148.18","15.9","false"
"1111","Guatemala","-94.56","10.61","-88.16","17.82","false"
"1112","Guinea","-18.26","7.19","-7.65","12.68","false"
"1113","Guinea-Bissau","-19.79","8.65","-13.64","12.68","false"
"1114","Guyana","-61.39","1.19","-55.78","10.69","false"
"1115","Haiti","-75.72","14.74","-71.63","20.71","false"
"1116","Heard Island and McDonald Islands","67.05","-56.52","79.4","-49.83","false"
"1117","Honduras","-89.35","12.99","-79.87","19.58","false"
"1118","China - Hong Kong","113.77","22.14","114.5","22.57","false"
"1119","Hungary","16.11","45.75","22.89","48.58","false"
"1120","Iceland","-30.86","59.96","-5.56","69.58","false"
"1121","India","65.61","3.88","97.38","35.51","false"
"1122","Indonesia","92.02","-13.25","141.46","7.78","false"
"1123","Iran","44.03","23.35","63.33","39.78","false"
"1124","Iraq","38.79","29.06","48.75","37.38","false"
"1125","Ireland","-16.1","48.19","-5.24","56.56","false"
"1126","Israel","32.99","29.45","35.68","33.52","false"
"1127","Italy","5.94","34.77","18.99","47.09","false"
"1128","Jamaica","-80.59","14.08","-74.51","19.36","false"
"1129","Japan","122.38","17.09","157.64","46.05","false"
"1130","Jordan","34.88","29.19","39.3","33.38","false"
"1131","Kazakhstan","46.5","40.59","87.35","55.44","false"
"1132","Kenya","33.91","-4.89","44.28","4.62","false"
"1133","Kiribati","167.82","-13.84","-146.82","7.92","false"
"1134","Korea, Democratic People's Republic of (North Korea)","123.55","37.11","132.82","43.01","false"
"1135","Korea, Republic of (South Korea)","122.71","28.6","134.27","40.27","false"
"1136","Kuwait","46.55","28.54","49.52","30.08","false"
"1137","Kyrgyzstan","69.25","39.2","80.28","43.22","false"
"1138","Laos","100.09","13.93","107.7","22.5","false"
"1139","Latvia","19.07","55.67","28.24","58.08","false"
"1140","Lebanon","33.76","33.06","36.62","34.83","false"
"1141","Lesotho","27.01","-30.65","29.46","-28.57","false"
"1142","Liberia","-13.58","1.02","-7.37","8.51","false"
"1143","Libya","9.31","19.5","26.21","35.23","false"
"1144","Liechtenstein","9.47","47.06","9.63","47.27","false"
"1145","Lithuania","19.02","53.89","26.81","56.45","false"
"1146","Luxembourg","5.73","49.45","6.52","50.18","false"
"1147","China - Macao","113.52","22.06","113.67","22.22","false"
"1148","Macedonia","20.46","40.86","23.03","42.36","false"
"1149","Madagascar - onshore and nearshore","42.53","-26.59","51.03","-11.69","false"
"1150","Malawi","32.68","-17.14","35.92","-9.38","false"
"1151","Malaysia","98.02","0.85","119.61","7.8","false"
"1152","Maldives","69.29","-3.47","77.08","8.09","false"
"1153","Mali","-12.24","10.14","4.25","25.0","false"
"1154","Malta","13.41","34.5","18.06","36.55","false"
"1155","Marshall Islands","157.47","1.77","175.51","22.65","false"
"1156","Martinique","-62.81","14.08","-57.53","16.35","false"
"1157","Mauritania","-20.04","14.73","-4.81","27.29","false"
"1158","Mauritius","53.8","-23.8","67.04","-8.44","false"
"1159","Mayotte","43.68","-14.49","46.69","-11.34","false"
"1160","Mexico","-122.18","12.1","-84.64","32.72","false"
"1161","Micronesia","135.27","-1.18","165.67","13.42","false"
"1162","Moldova","26.63","45.45","30.13","48.47","false"
"1163","Monaco","7.39","42.95","7.76","43.77","false"
"1164","Mongolia","87.76","41.59","119.93","52.14","false"
"1165","Montserrat","-63.05","15.84","-61.82","17.03","false"
"1166","Morocco","-13.85","27.66","-1.01","36.0","false"
"1167","Mozambique","30.21","-27.7","43.02","-10.09","false"
"1168","Myanmar (Burma)","89.61","9.49","101.17","28.55","false"
"1169","Namibia","8.24","-30.64","25.26","-16.95","false"
"1170","Nauru","163.58","-3.91","168.6","2.68","false"
"1171","Nepal","80.05","26.37","88.19","30.42","false"
"1172","Netherlands","2.54","50.75","7.21","55.77","false"
"1173","Netherlands Antilles","-69.59","11.67","-62.82","18.07","true"
"1174","New Caledonia","156.26","-26.44","174.28","-14.83","false"
"1175","New Zealand","160.61","-55.95","-171.2","-25.89","false"
"1176","Nicaragua","-89.42","9.75","-79.77","16.26","false"
"1177","Niger","0.17","11.69","16.0","23.52","false"
"1178","Nigeria","2.67","1.92","14.65","13.89","false"
"1179","Niue","-172.0","-22.49","-166.31","-16.58","false"
"1180","Norfolk Island","164.11","-32.48","171.8","-25.84","false"
"1181","Northern Mariana Islands","141.34","12.38","149.54","23.89","false"
"1182","Norway","-3.7","56.09","39.64","84.16","false"
"1183","Oman","52.0","14.34","63.37","26.74","false"
"1184","Pakistan","60.87","21.06","77.82","37.06","false"
"1185","Palau","129.49","1.65","136.98","11.44","false"
"1186","Panama","-84.32","5.0","-77.05","12.5","false"
"1187","Papua New Guinea","139.2","-14.75","162.8","2.57","false"
"1188","Paraguay","-62.64","-27.58","-54.24","-19.3","false"
"1189","Peru","-84.67","-21.05","-68.67","-0.04","false"
"1190","Philippines","116.04","3.0","129.94","22.18","false"
"1191","Pitcairn","-133.42","-28.41","-121.11","-20.58","false"
"1192","Poland","14.15","49.0","24.14","55.92","false"
"1193","Portugal","-35.58","29.25","-6.19","43.07","false"
"1194","Puerto Rico","-68.48","14.93","-65.04","21.85","false"
"1195","Qatar","50.56","24.56","53.03","27.04","false"
"1196","Reunion","37.58","-25.92","58.27","-10.6","true"
"1197","Romania","20.26","43.45","31.41","48.26","false"
"1198","Russia","18.93","39.88","-168.97","85.19","false"
"1199","Rwanda","28.85","-2.83","30.89","-1.05","false"
"1200","St Kitts and Nevis","-63.63","16.35","-62.2","17.67","false"
"1201","St Lucia","-62.79","13.24","-60.0","14.27","false"
"1202","St Vincent and the Grenadines","-63.38","12.04","-60.29","14.08","false"
"1203","Samoa","-174.53","-15.84","-170.51","-10.95","false"
"1204","San Marino","12.41","43.9","12.51","43.99","false"
"1205","Sao Tome and Principe","3.21","-1.48","8.55","2.71","false"
"1206","Saudi Arabia","34.45","15.62","55.67","32.15","false"
"1207","Senegal","-20.21","10.64","-11.37","16.69","false"
"1208","Seychelles","43.2","-12.72","59.66","-0.38","false"
"1209","Sierra Leone","-16.56","4.22","-10.26","10.0","false"
"1210","Singapore","103.6","1.13","104.06","1.46","false"
"1211","Slovakia","16.84","47.74","22.56","49.6","false"
"1212","Slovenia","13.38","45.43","16.61","46.88","false"
"1213","Solomon Islands - onshore main islands","155.62","-10.89","162.43","-6.56","false"
"1214","Somalia","40.99","-3.61","54.43","13.5","false"
"1215","South Africa","13.33","-50.31","42.85","-22.14","false"
"1216","South Georgia and the South Sandwich Islands","-48.06","-62.78","-19.85","-50.16","false"
"1217","Spain","-21.93","24.6","6.3","46.25","false"
"1218","Sri Lanka","77.02","2.58","85.24","11.44","false"
"1219","St Helena, Ascension and Tristan da Cunha","-17.79","-43.7","-2.17","-4.56","false"
"1220","St Pierre and Miquelon","-57.1","43.42","-55.9","47.37","false"
"1221","Sudan","21.83","8.64","39.75","22.23","false"
"1222","Suriname","-58.07","1.84","-52.66","9.35","false"
"1223","Svalbard and Jan Mayen","-16.22","66.24","35.02","85.05","true"
"1224","Swaziland","30.8","-27.32","32.13","-25.73","false"
"1225","Sweden","10.03","54.96","24.17","69.06","false"
"1226","Switzerland","5.97","45.83","10.49","47.81","false"
"1227","Syria","34.97","32.31","42.38","37.29","false"
"1228","Taiwan","114.32","17.37","123.61","26.95","false"
"1229","Tajikistan","67.36","36.67","75.19","41.05","false"
"1230","Tanzania","29.34","-11.74","43.28","-1.0","false"
"1231","Thailand","95.53","5.63","105.64","20.45","false"
"1232","Togo","-0.15","2.91","2.41","11.14","false"
"1233","Tokelau","-175.86","-11.04","-167.99","-6.47","false"
"1234","Tonga","-179.07","-25.67","-171.28","-14.14","false"
"1235","Trinidad and Tobago","-62.08","9.83","-57.29","12.33","false"
"1236","Tunisia","7.49","30.23","13.66","38.4","false"
"1237","Turkey","25.62","34.43","44.82","43.45","false"
"1238","Turkmenistan","51.3","35.15","66.67","42.8","false"
"1239","Turks and Caicos Islands","-72.81","20.55","-67.67","25.06","false"
"1240","Tuvalu","172.73","-13.23","-176.71","-4.0","false"
"1241","Uganda","29.57","-1.48","35.01","4.22","false"
"1242","Ukraine","22.15","43.19","40.18","52.38","false"
"1243","UAE","51.51","22.63","57.13","26.26","false"
"1244","UK","-14.89","47.42","3.4","63.89","false"
"1245","USA","167.65","15.56","-65.7","74.71","false"
"1246","United States Minor Outlying Islands","163.07","-3.74","-157.41","31.8","false"
"1247","Uruguay","-58.49","-37.77","-50.01","-30.1","false"
"1248","Uzbekistan","56.0","37.18","73.17","45.57","false"
"1249","Vanuatu","163.17","-21.64","173.58","-12.28","false"
"1250","Holy See (Vatican City State)","12.45","41.9","12.46","41.91","false"
"1251","Venezuela","-73.38","0.65","-58.95","16.75","false"
"1252","Vietnam","102.14","5.67","112.55","23.32","false"
"1253","Virgin Islands, British","-65.84","17.96","-63.3","22.08","false"
"1254","Virgin Islands, US","-66.04","16.22","-63.89","21.83","false"
"1255","Wallis and Futuna","179.49","-15.94","-174.27","-9.85","false"
"1256","Western Sahara","-20.67","18.99","-8.67","27.67","false"
"1257","Yemen","41.08","8.96","57.96","19.0","false"
"1258","Yugoslavia - Serbia and Montenegro","18.44","41.82","23.05","46.23","true"
"1259","Congo DR (Zaire)","11.8","-13.46","31.3","5.38","false"
"1260","Zambia","22.0","-18.07","33.7","-8.19","false"
"1261","Zimbabwe","25.24","-22.41","33.07","-15.62","false"
"1262","World","-180.0","-90.0","180.0","90.0","false"
"1263","Not specified","-180.0","-90.0","180.0","90.0","false"
