"ID","NAME_1","DIRECTION_1","NAME_2","DIRECTION_2","NAME_3","DIRECTION_3"
"4400","Easting","east","Northing","north","",""
"4401","Easting","east","Northing","north","",""
"4402","Easting","east","Northing","north","",""
"4403","Easting","east","Northing","north","",""
"4404","Easting","east","Northing","north","",""
"4405","Easting","east","Northing","north","",""
"4406","Easting","east","Northing","north","",""
"4407","Easting","east","Northing","north","",""
"4408","Easting","east","Northing","north","",""
"4409","Easting","east","Northing","north","",""
"4410","Easting","east","Northing","north","",""
"4468","Easting","South along 45°E","Northing","South along 135°E","",""
"1032","Plant East","east","Plant North","north","Gravity-related height","up"
"4469","Easting","South along 90°E","Northing","South along 180°E","",""
"1033","Bin grid I","J-axis plus 90°","Bin grid J","See associated operation","",""
"4470","Easting","North along 90°E","Northing","North along 0°E","",""
"1034","Bin grid I","J-axis minus 90°","Bin grid J","See associated operation","",""
"4471","Easting","North along 75°W","Northing","North along 165°W","",""
"4464","Easting","South along 90°W","Northing","South along 0°E","",""
"4465","Easting","South along 50°E","Northing","South along 140°E","",""
"4466","Easting","South along 10°W","Northing","South along 80°E","",""
"4467","Easting","South along 60°W","Northing","South along 30°E","",""
"4476","Easting","North along 15°E","Northing","North along 75°W","",""
"1024","Easting","east","Northing","north","",""
"4477","Easting","North along 45°E","Northing","North along 45°W","",""
"1025","Easting","North along 130°W","Northing","North along 140°E","",""
"4478","Easting","North along 60°E","Northing","North along 30°W","",""
"1026","Easting","South along 90°E","Northing","South along 180°E","",""
"4479","Easting","North along 75°E","Northing","North along 15°W","",""
"1027","Easting","North along 90°E","Northing","North along 0°E","",""
"4472","Easting","North along 60°W","Northing","North along 150°W","",""
"1028","Easting","east","Northing","north","",""
"4473","Easting","North along 45°W","Northing","North along 135°W","",""
"1029","Northing","north","Easting","east","",""
"4474","Easting","North along 15°W","Northing","North along 105°W","",""
"1030","Gravity-related height","up","","","",""
"4475","Easting","North along 0°E","Northing","North along 90°W","",""
"1031","Northing","north","Westing","west","",""
"4461","Topocentric East","east","Topocentric North","north","Topocentric height","up"
"4460","Easting","South along 90°E.","Northing","South along 180°E","",""
"4463","Easting","South along 100°E","Northing","South along 170°W","",""
"4462","Easting","South along 180°W","Northing","South along 90°W","",""
"4531","Northing","north","Easting","east","",""
"4530","Northing","north","Easting","east","",""
"4533","Northing","north","Easting","east","",""
"4532","Northing","north","Easting","east","",""
"4534","Northing","north","Easting","east","",""
"6403","Geodetic latitude","north","Geodetic longitude","east","",""
"6402","Geodetic latitude","north","Geodetic longitude","east","",""
"6401","Geodetic latitude","north","Geodetic longitude","east","Ellipsoidal height","up"
"6407","Geodetic latitude","north","Geodetic longitude","east","",""
"6406","Geodetic latitude","north","Geodetic longitude","east","",""
"6405","Geodetic latitude","north","Geodetic longitude","east","",""
"6404","Spherical latitude","north","Spherical longitude","east","Geocentric radius","up"
"4499","Easting","east","Northing","north","",""
"6411","Geodetic latitude","north","Geodetic longitude","east","",""
"4498","Easting","east","Northing","north","",""
"6410","Geodetic latitude","north","Geodetic longitude","east","",""
"4497","Easting","east","Northing","north","",""
"6409","Geodetic latitude","north","Geodetic longitude","east","",""
"4496","Easting","east","Northing","north","",""
"6408","Geodetic latitude","north","Geodetic longitude","east","",""
"6415","Geodetic latitude","north","Geodetic longitude","east","Ellipsoidal height","up"
"4502","Northing","north","Easting","east","",""
"6414","Geodetic latitude","north","Geodetic longitude","east","Ellipsoidal height","up"
"4501","Northing","north","Westing","west","",""
"6413","Geodetic latitude","north","Geodetic longitude","east","Ellipsoidal height","up"
"4500","Northing","north","Easting","east","",""
"6412","Geodetic latitude","north","Geodetic longitude","east","",""
"4490","Easting","North along 90°E","Northing","North along 0°E","",""
"6418","Geodetic latitude","north","Geodetic longitude","east","Ellipsoidal height","up"
"4491","Westing","west","Northing","north","",""
"6419","Geodetic latitude","north","Geodetic longitude","east","Ellipsoidal height","up"
"4488","Easting","North along 105°W","Northing","North along 165°E","",""
"6416","Geodetic latitude","north","Geodetic longitude","east","Ellipsoidal height","up"
"4489","Easting","North along 160°E","Northing","North along 70°E","",""
"6417","Geodetic latitude","north","Geodetic longitude","east","Ellipsoidal height","up"
"4494","Northing","North along 0°E","Easting","North along 90°E","",""
"6422","Geodetic latitude","north","Geodetic longitude","east","",""
"4495","Easting","east","Northing","north","",""
"6423","Geodetic latitude","north","Geodetic longitude","east","Ellipsoidal height","up"
"4492","First local axis","North along 130°W","Second local axis","North along 140°E","",""
"6420","Geodetic latitude","north","Geodetic longitude","east","Ellipsoidal height","up"
"4493","Northing","South along 180°E","Easting","South along 90°E","",""
"6421","Geodetic latitude","north","Geodetic longitude","east","Ellipsoidal height","up"
"4482","Easting","North along 135°E","Northing","North along 45°E","",""
"6426","Geodetic longitude","east","Geodetic latitude","north","Ellipsoidal height","up"
"4483","Easting","North along 165°E","Northing","North along 75°E","",""
"6427","Geodetic longitude","east","Geodetic latitude","north","Ellipsoidal height","up"
"4480","Easting","North along 105°E","Northing","North along 15°E","",""
"6424","Geodetic longitude","east","Geodetic latitude","north","",""
"4481","Easting","North along 120°E","Northing","North along 30°E","",""
"6425","Geodetic longitude","east","Geodetic latitude","north","",""
"6430","Geodetic latitude","north","Geodetic longitude","east","Ellipsoidal height","up"
"4486","Easting","North along 135°W","Northing","North along 135°E","",""
"6431","Geodetic longitude","east","Geodetic latitude","north","Ellipsoidal height","up"
"4487","Easting","North along 120°W","Northing","North along 150°E","",""
"6428","Geodetic latitude","north","Geodetic longitude","east","",""
"4484","Easting","North along 180°E","Northing","North along 90°E","",""
"6429","Geodetic longitude","east","Geodetic latitude","north","",""
"4485","Easting","North along 165°W","Northing","North along 105°E","",""
"6501","Southing","south","Westing","west","",""
"6500","Geocentric X","Geocentre > equator/0°E","Geocentric Y","Geocentre > equator/90°E","Geocentric Z","Geocentre > north pole"
"6503","Westing","west","Southing","south","",""
"6502","Westing","west","Southing","south","",""
"6497","Gravity-related height","up","","","",""
"6496","Gravity-related height","up","","","",""
"6499","Gravity-related height","up","","","",""
"6498","Depth","down","","","",""
"6509","Southing","south","Westing","west","",""
"6508","Bin grid J","north north east","Bin grid I","east south east","",""
"6511","Inline","Along receiver lines","Crossline","Across receiver lines","",""
"6510","Plant East","north-east","Plant North","north-west","",""
"6505","First local axis","north-west","Second local axis","north-east","",""
"6504","Plant North","north-west","Plant East","north-east","",""
"6507","First local axis","north","Second local axis","west","",""
"6506","First local axis","east-south-east","Second local axis","north-north-east","",""
"6512","Plant East","east","Plant North","north","Local height","up"
"6495","Depth","down","","","",""
