"ID","NAME","DATUM_ID","UNIT_ID","AXIS_ID","AREA_ID","DEPRECATED"
"4639","MOP78","6639","9122","6422","2815","false"
"4607","St. Vincent 1945","6607","9122","6422","3300","false"
"4600","Anguilla 1957","6600","9122","6422","3214","false"
"4261","Merchich","6261","9122","6422","3280","false"
"4264","Mhast","6264","9122","6422","1318","true"
"4035","Unknown datum based upon the Authalic Sphere","6035","9108","6402","1263","true"
"4197","Garoua","6197","9122","6422","2590","false"
"4613","Segara","6613","9122","6422","1360","false"
"4696","Kasai 1953","6696","9122","6422","3148","false"
"4604","Montserrat 1958","6604","9122","6422","3279","false"
"4605","St. Kitts 1955","6605","9122","6422","3297","false"
"4606","St. Lucia 1955","6606","9122","6422","3298","false"
"4603","Grenada 1953","6603","9122","6422","1551","false"
"4230","ED50","6230","9122","6422","1296","false"
"4231","ED87","6231","9122","6422","1297","false"
"4273","NGO 1948","6273","9122","6422","1352","false"
"4293","Schwarzeck","6293","9122","6422","1169","false"
"4610","Xian 1980","6610","9122","6422","3228","false"
"4228","Douala","6228","9108","6402","1060","true"
"4608","NAD27(76)","6608","9122","6422","1367","false"
"4609","NAD27(CGQ77)","6609","9122","6422","1368","false"
"4229","Egypt 1907","6229","9122","6422","1086","false"
"4246","KOC","6246","9122","6422","3267","false"
"4209","Arc 1950","6209","9122","6422","1276","false"
"4149","CH1903","6149","9122","6422","1286","false"
"4621","Fort Marigot","6621","9122","6422","2828","false"
"4611","Hong Kong 1980","6611","9122","6422","1118","false"
"4612","JGD2000","6612","9122","6422","1129","false"
"4614","QND95","6614","9122","6422","1346","false"
"4615","Porto Santo","6615","9122","6422","1314","false"
"4616","Selvagem Grande","6616","9122","6422","2779","false"
"4617","NAD83(CSRS)","6140","9122","6422","1061","false"
"4618","SAD69","6618","9122","6422","1358","false"
"4619","SWEREF99","6619","9122","6422","1225","false"
"4620","Point 58","6620","9122","6422","2790","false"
"4249","Lake","6249","9122","6422","1312","false"
"4213","Beduaram","6213","9122","6422","2771","false"
"4208","Aratu","6208","9122","6422","1274","false"
"4660","Helle 1954","6660","9122","6422","2869","false"
"4693","Nakhl-e Ghanem","6693","9122","6422","2362","false"
"5524","Corrego Alegre 1961","1074","9122","6422","3874","false"
"4823","Sao Tome","1044","9122","6422","3645","false"
"4807","NTF (Paris)","6807","9105","6403","3694","false"
"4808","Padang (Jakarta)","6808","9122","6422","1355","false"
"4809","Belge 1950 (Brussels)","6809","9122","6422","1347","false"
"4810","Tananarive (Paris)","6810","9105","6403","3273","false"
"4811","Voirol 1875 (Paris)","6811","9105","6403","1365","false"
"4813","Batavia (Jakarta)","6813","9122","6422","1285","false"
"4814","RT38 (Stockholm)","6814","9122","6422","3313","false"
"4815","Greek (Athens)","6815","9122","6422","3254","false"
"4816","Carthage (Paris)","6816","9105","6403","1618","false"
"4817","NGO 1948 (Oslo)","6817","9122","6422","1352","false"
"4818","S-JTSK (Ferro)","6818","9122","6422","1306","false"
"4819","Nord Sahara 1959 (Paris)","6819","9105","6403","1366","true"
"4820","Segara (Jakarta)","6820","9122","6422","1360","false"
"4821","Voirol 1879 (Paris)","6821","9105","6403","1365","false"
"4223","Carthage","6223","9122","6422","1236","false"
"3889","IGRS","1029","9122","6422","1124","false"
"4757","SVY21","6757","9122","6422","1210","false"
"4244","Kandawala","6244","9122","6422","3310","false"
"4221","Campo Inchauspe","6221","9122","6422","3843","false"
"4708","Cocos Islands 1965","6708","9122","6422","1069","false"
"4463","RGSPM06","1038","9122","6422","1220","false"
"4470","RGM04","1036","9122","6422","1159","false"
"4475","Cadastre 1997","1037","9122","6422","3340","false"
"4483","Mexican Datum of 1993","1042","9122","6422","1160","false"
"4824","Principe","1046","9122","6422","3646","false"
"5013","PTRA08","1041","9122","6422","3670","false"
"4289","Amersfoort","6289","9122","6422","1275","false"
"4291","SAD69","6291","9108","6402","1358","true"
"4292","Sapper Hill 1943","6292","9122","6422","3247","false"
"4294","Segora","6294","9108","6402","1359","true"
"4295","Serindung","6295","9122","6422","4005","false"
"4296","Sudan","6296","9108","6402","1361","true"
"4297","Tananarive","6297","9122","6422","1149","false"
"4298","Timbalai 1948","6298","9122","6422","1362","false"
"4299","TM65","6299","9122","6422","1305","false"
"4300","TM75","6300","9122","6422","1305","false"
"4622","Guadeloupe 1948","6622","9122","6422","2829","false"
"4623","CSG67","6623","9122","6422","3105","false"
"4624","RGFG95","6624","9122","6422","1097","false"
"4625","Martinique 1938","6625","9122","6422","3276","false"
"4626","Reunion 1947","6626","9122","6422","3337","false"
"4627","RGR92","6627","9122","6422","3902","false"
"4628","Tahiti 52","6628","9122","6422","2811","false"
"4629","Tahaa 54","6629","9122","6422","2812","false"
"4630","IGN72 Nuku Hiva","6630","9122","6422","3129","false"
"4631","K0 1949","6631","9122","6422","2816","true"
"4632","Combani 1950","6632","9122","6422","3340","false"
"4633","IGN56 Lifou","6633","9122","6422","2814","false"
"4634","IGN72 Grand Terre","6634","9108","6402","2822","true"
"4635","ST87 Ouvea","6635","9122","6422","2813","true"
"4636","Petrels 1972","6636","9122","6422","2817","false"
"4637","Perroud 1950","6637","9122","6422","2818","false"
"4638","Saint Pierre et Miquelon 1950","6638","9122","6422","3299","false"
"4640","RRAF 1991","6640","9122","6422","2824","true"
"4641","IGN53 Mare","6641","9122","6422","2819","false"
"4642","ST84 Ile des Pins","6642","9122","6422","2820","false"
"4222","Cape","6222","9122","6422","1290","false"
