"ID","NAME","LONGITUDE","DEPRECATED"
"8901","Greenwich","0.0","false"
"8902","Lisbon","-9.0754862","false"
"8903","Paris","2.5969213","false"
"8904","Bogota","-74.04513","false"
"8905","Madrid","-3.411658","false"
"8906","Rome","12.27084","false"
"8907","Bern","7.26225","false"
"8908","Jakarta","106.482779","false"
"8909","Ferro","-17.4","false"
"8910","Brussels","4.220471","false"
"8911","Stockholm","18.03298","false"
"8912","Athens","23.4258815","false"
"8913","Oslo","10.43225","false"
"8914","Paris RGS","2.201395","false"
