"ID","NAME","GEO_CS_ID","UNIT_ID","PROJECTION_ID","PROJECTION_NAME","PARAMETERS","AXIS_ID","AREA_ID","DEPRECATED"
"2087","ELD79 / TM 12 NE","4159","9001","9807","Transverse_Mercator","{""latitude_of_natural_origin"": 0,""false_northing"": 0,""longitude_of_natural_origin"": 12,""scale_factor_at_natural_origin"": 0.9996,""false_easting"": 500000}","4400","1482","false"
"4496","CGCS2000 / Gauss-Kruger zone 18","4490","9001","9807","Transverse_Mercator","{""latitude_of_natural_origin"": 0,""false_northing"": 0,""longitude_of_natural_origin"": 105,""scale_factor_at_natural_origin"": 1,""false_easting"": 18500000}","4530","3944","false"
"4497","CGCS2000 / Gauss-Kruger zone 19","4490","9001","9807","Transverse_Mercator","{""latitude_of_natural_origin"": 0,""false_northing"": 0,""longitude_of_natural_origin"": 111,""scale_factor_at_natural_origin"": 1,""false_easting"": 19500000}","4530","3945","false"
"4498","CGCS2000 / Gauss-Kruger zone 20","4490","9001","9807","Transverse_Mercator","{""latitude_of_natural_origin"": 0,""false_northing"": 0,""longitude_of_natural_origin"": 117,""scale_factor_at_natural_origin"": 1,""false_easting"": 20500000}","4530","3946","false"
"4499","CGCS2000 / Gauss-Kruger zone 21","4490","9001","9807","Transverse_Mercator","{""latitude_of_natural_origin"": 0,""false_northing"": 0,""longitude_of_natural_origin"": 123,""scale_factor_at_natural_origin"": 1,""false_easting"": 21500000}","4530","3947","false"
"4500","CGCS2000 / Gauss-Kruger zone 22","4490","9001","9807","Transverse_Mercator","{""latitude_of_natural_origin"": 0,""false_northing"": 0,""longitude_of_natural_origin"": 129,""scale_factor_at_natural_origin"": 1,""false_easting"": 22500000}","4530","3948","false"
"4501","CGCS2000 / Gauss-Kruger zone 23","4490","9001","9807","Transverse_Mercator","{""latitude_of_natural_origin"": 0,""false_northing"": 0,""longitude_of_natural_origin"": 135,""scale_factor_at_natural_origin"": 1,""false_easting"": 23500000}","4530","1597","false"
"4502","CGCS2000 / Gauss-Kruger CM 75E","4490","9001","9807","Transverse_Mercator","{""latitude_of_natural_origin"": 0,""false_northing"": 0,""longitude_of_natural_origin"": 75,""scale_factor_at_natural_origin"": 1,""false_easting"": 500000}","4530","1587","false"
"4503","CGCS2000 / Gauss-Kruger CM 81E","4490","9001","9807","Transverse_Mercator","{""latitude_of_natural_origin"": 0,""false_northing"": 0,""longitude_of_natural_origin"": 81,""scale_factor_at_natural_origin"": 1,""false_easting"": 500000}","4530","1588","false"
"4504","CGCS2000 / Gauss-Kruger CM 87E","4490","9001","9807","Transverse_Mercator","{""latitude_of_natural_origin"": 0,""false_northing"": 0,""longitude_of_natural_origin"": 87,""scale_factor_at_natural_origin"": 1,""false_easting"": 500000}","4530","1589","false"
"4505","CGCS2000 / Gauss-Kruger CM 93E","4490","9001","9807","Transverse_Mercator","{""latitude_of_natural_origin"": 0,""false_northing"": 0,""longitude_of_natural_origin"": 93,""scale_factor_at_natural_origin"": 1,""false_easting"": 500000}","4530","1590","false"
"4506","CGCS2000 / Gauss-Kruger CM 99E","4490","9001","9807","Transverse_Mercator","{""latitude_of_natural_origin"": 0,""false_northing"": 0,""longitude_of_natural_origin"": 99,""scale_factor_at_natural_origin"": 1,""false_easting"": 500000}","4530","1591","false"
"4507","CGCS2000 / Gauss-Kruger CM 105E","4490","9001","9807","Transverse_Mercator","{""latitude_of_natural_origin"": 0,""false_northing"": 0,""longitude_of_natural_origin"": 105,""scale_factor_at_natural_origin"": 1,""false_easting"": 500000}","4530","3944","false"
