"FACT FCODE","TRIMX FCODE","Class","Label","Attributes","Color","LineWidth","LinePattern","Visible"
,,"Airfield","Retired","updateHistory.retirementHistory!=","red",0.25,"3,3",FALSE
"AQ00550001","AQ00550001","Airfield","Airfield Abandoned","airfieldType=abandoned","red",0.25,,TRUE
"AQ00450000","AQ00450000","Airfield","Airfield","airfieldType=airFacility","red",0.25,,TRUE
"AQ00500000","AQ00500000","Airfield","Airport","airfieldType=airport","red",0.25,,TRUE
"AQ00550000","AQ00550000","Airfield","Airstrip","airfieldType=airstrip","red",0.25,,TRUE
,,"Airfield",,,"red",0.25,,TRUE
"HC90000000","HC90000000","AreaOfExclusion",,,"red",0.5,"0.5,1.5",TRUE
,,"AreaOfExclusion","Active","updateHistory.retirementHistory=","darkgray",0.25,"3,3",FALSE
,,"AreaOfExclusion","Retired","updateHistory.retirementHistory!=","red",0.25,"3,3",FALSE
"HC90000100","HC90000100","AreaOfIndefiniteContours",,,"red",0.5,"0.5,1.5",TRUE
,,"AreaOfIndefiniteContours","Active","updateHistory.retirementHistory=","red",0.5,"3,3",TRUE
,,"AreaOfIndefiniteContours","Retired","updateHistory.retirementHistory!=","darkgray",0.25,"3,3",FALSE
,,"AreaSymbol","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"GB90000000","GB90000000","AreaSymbol","Inundated Land (symbol)",,,,,TRUE
"GC90100000","GC90100000","AreaSymbol","Marsh (symbol)",,,,,TRUE
"GC90200000","GC90200000","AreaSymbol","Swamp (symbol)",,,,,TRUE
"GE90100000","GE90100000","AreaSymbol","Sand/Gravel Bar (symbol)",,,,,TRUE
"HB90000000","HB90000000","AreaSymbol","Slide (symbol)",,,,,TRUE
"HB90000000","HB90000000","AreaSymbol","Slide (symbol)",,,,,TRUE
"HB90000110",,"AreaSymbol","Slide Enhanced (symbol)",,,,,TRUE
"JA90100000","JA90100000","AreaSymbol","Cutblock (symbol)",,,,,TRUE
"JA90200000","JA90200000","AreaSymbol","Cutblock Regenerating (symbol)",,,,,TRUE
"JA90300000","JA90300000","AreaSymbol","Selective Log (symbol)",,,,,TRUE
"JA90400000","JA90400000","AreaSymbol","Windfall (symbol)",,,,,TRUE
"JA90500000","JA90500000","AreaSymbol","Burn (symbol)",,,,,TRUE
"JA90600000","JA90600000","AreaSymbol","Burn Regenerating (symbol)",,,,,TRUE
,,"BeaverDam","Retired","updateHistory.retirementHistory!=","black",0.25,"3,3",FALSE
"GA08450110","GA08450110","BeaverDam",,,"black",0.25,,TRUE
